-(н)им-,Cinemantique,8267078,2017-06-23T01:33:19Z,True,Герман Мейстер,False,good diff,False,,"['+ ', '+ === Произношение ===', '+ {{transcription-ru||}}']",57,260
-∅,Sumkoysjadompotrjasi,10154156,2019-01-24T12:03:22Z,False,bad diff,True,Cinemantique,False,/* {{заголовок|(корень)}} */,"['- == {{заголовок|(корень)}} ==', '+ == {{заголовок|∅- (корень)}} ==']",5,10430
-∅,122.47.252.96,12064309,2021-11-21T16:39:21Z,True,Cinemantique,False,good diff,False,/* {{заголовок|(суффикс)}} */ в некоторых местах не проставлены выделения на ∅,"['- # {{морфема|часть=основе глаголов|образует=существительные|знач=отвлечённого действия}} {{пример|[[выходить]] → [[выход|выход∅]]}}', '+ # {{морфема|часть=основе глаголов|образует=существительные|знач=отвлечённого действия}} {{пример|[[выходить]] → [[выход|выход{{выдел|∅}}]]}}', '- # {{морфема|часть=основе прилагательных|образует=существительные|знач=отвлечённого признака}} {{пример|[[глубокий]] → [[глубь|глубь∅]]}}', '+ # {{морфема|часть=основе прилагательных|образует=существительные|знач=отвлечённого признака}} {{пример|[[глубокий]] → [[глубь|глубь{{выдел|∅}}]]}}']",30,10430
-∅,Sumkoysjadompotrjasi,10154151,2019-01-24T11:55:22Z,False,bad diff,True,Cinemantique,False,/* {{заголовок|(корень)}} */,"[""- [[вынуть|''вы'''∅'''нуть]], [[падик|пад'''∅'''ик]]''"", ""+ [[вынуть|''вы'''∅'''нуть]], [[падик|''пад'''∅'''ик'']]''""]",4,10425
-∅,Cinemantique,10154163,2019-01-24T12:07:05Z,True,Cinemantique,False,good diff,False,А мы описываем корни?,"['- ', '- == {{заголовок|∅- (корень)}} ==', '- ', '- Нулевой корень.', '- ', ""- [[вынуть|''вы'''∅'''нуть]], [[падик|''пад'''∅'''ик'']]''""]",-164,10266
-∅,Sumkoysjadompotrjasi,10154150,2019-01-24T11:54:57Z,False,bad diff,True,Cinemantique,False,/* {{-ru-}} */,"['+ ', '+ == {{заголовок|(корень)}} ==', '+ ', '+ Нулевой корень.', '+ ', ""+ [[вынуть|''вы'''∅'''нуть]], [[падик|пад'''∅'''ик]]''""]",155,10421
-∅,Igusarov,10044726,2018-11-01T08:06:06Z,True,Igusarov,False,good diff,True,"/* Значение */ убрал спорный пример, где утверждалось, что ""жаль"" это наречие.","['- # {{морфема|часть=основе прилагательных, существительных и глаголов|образует=наречия|знач=}} {{пример|[[серьёзный]] → [[всерьёз]]}} {{пример|[[прокат]] → [[напрокат]]}} {{пример|[[жалеть]] → [[жаль]]}}', '+ # {{морфема|часть=основе прилагательных, существительных и глаголов|образует=наречия|знач=}} {{пример|[[серьёзный]] → [[всерьёз]]}} {{пример|[[прокат]] → [[напрокат]]}}']",-51,10266
-ав,85.173.128.101,10378657,2019-07-11T15:10:11Z,False,bad diff,True,Valentin Ko,False,/* Фонетические варианты */,['+ Окладов'],15,2218
-∅,Cinemantique,8271583,2017-06-23T03:06:08Z,True,Cinemantique,False,good diff,False,,"['+ ', '+ === Произношение ===', '+ {{transcription-ru|}}', '+ === Произношение ===', '+ {{transcription-ru|}}', '+ ', '- * ', '+ *']",111,10317
-аг,37.215.97.201,5111922,2015-04-16T14:43:48Z,False,bad diff,True,Infovarius,False,/* Значение */,"['+ Никто не отличит, что тут латинская эй, a не русская а.']",97,1319
